Nr. (gesamt),Nr. (Staffel),Datum,Kandidaten,Jäger,Zeit bzw. Punkte des Jägers,Finalisten,Geld­summe,Nr. (gesamt) [1][2],Nr. (gesamt)[3],Nr. (gesamt)[4][Anm. 2]
XXL 7,S2,18. Juli 2020,"Team 3: Anneke Kim Sarnau, Ulrich Noethen, Laura Karasek, Boris Becker",Sebastian Klussmann,01 Min. 47 Sek.,"Anneke, Ulrich mit 12 + 2 Punkten",017.000 €,,,
XXL 7,S2,18. Juli 2020,"Team 4: Malaika Mihambo, Lutz van der Horst, Verona Pooth, Gil Ofarim",Sebastian Jacoby,01 Min. 38 Sek.,Lutz mit 13 + 1 Punkten,002.000 €,,,
432,034,20. Juli 2020,"Christel Schlagewerth, Nils Hörnemann, Annika Meyer, Udo Gawenda",Thomas Kinne,17 Punkte,"Christel, Nils, Annika, Udo mit 19 + 1 Punkten",021.000 €,,,
433,035,21. Juli 2020,"Jan E. Kukielka, Giannina-Louisa Wille, Johannes Teck, Iris Strube",Sebastian Klussmann,01 Min. 30 Sek.,"Jan, Iris mit 15 + 1 Punkten",006.000 €,,,
434,036,22. Juli 2020,"Andrea Grothusen, Niklas Willuhn, Kristin Fähmel, Hans-Peter Weber",Klaus Otto Nagorsnik,01 Min. 40 Sek.,"Andrea, Niklas mit 15 + 2 Punkten",008.500 €,,,
435,037,23. Juli 2020,"Maren Dunkelau, Sören Klinger, Lisa Czymai, Tobias Bünning",Sebastian Jacoby,09 Punkte 0(22 nötig),"Sören, Lisa, Tobias mit 21 + 8 Punkten",024.500 €,,,
436,038,24. Juli 2020,"Lothar Fritz, Astrid Stumpf, Michael Schulze, Natalie Kreindlina",Klaus Otto Nagorsnik,01 Min. 55 Sek.,Natalie mit 9 Punkten,004.500 €,,,
437[Anm. 14],039,27. Juli 2020,"Gabriele Sadlack, Lutz Hühnken, Marie-Luise Lobos, Bastian Petersen",Klaus Otto Nagorsnik,08 Punkte,"Gabriele, Lutz mit 17 + 5 Punkten",008.500 €,,,
438,040,28. Juli 2020,"Benjamin Stello, Laura-Marie Begoihn, Marcel Bambach, Julia Merkes",Sebastian Jacoby,01 Min. 35 Sek.,"Benjamin, Laura-Marie, Marcel mit 16 + 1 Punkten",013.500 €,,,
439,041,29. Juli 2020,"Axel Werwy, Kathrin Hausschild, Christoph Kohns, Claudia Raddünz",Thomas Kinne,01 Min. 21 Sek.,"Axel, Claudia mit 13 Punkten",017.500 €,,,
