Nr. (gesamt),Nr. (Staffel),Datum,Kandidaten,Jäger,Zeit bzw. Punkte des Jägers,Finalisten,Geld­summe,Nr. (gesamt) [1][2],Nr. (gesamt)[3],Nr. (gesamt)[4][Anm. 2]
1,1,8. Juli 2012,"Hans Werner Olm, Mariella Ahrens, Ralph Morgenstern, Esther Schweins",Holger Waldenberger,01 Min. 34 Sek.,"Hans Werner, Esther mit 15 Punkten",016.500 €,,,
2,2,15. Juli 2012,"Achim Winter, Erika Berger, Matze Knop, Lilo Wanders",Holger Waldenberger,01 Min. 41 Sek.,"Erika, Matze, Lilo mit 20 Punkten",017.250 €,,,
3,3,22. Juli 2012,"Bernhard Brink, Yasmina Filali, Ulrich Pleitgen, Gabi Decker",Holger Waldenberger,01 Min. 04 Sek.,"Yasmina, Gabi mit 9 Punkten",001.900 €,,,
4,4,29. Juli 2012,"Konrad Stöckel, Ulrike Nasse-Meyfarth, Kristina Bach, Wolfgang Fierek",Holger Waldenberger,05 Punkte,"Ulrike, Kristina mit 16 Punkten",016.500 €,,,
5,5,5. Aug. 2012,"Ingolf Lück, Liz Baffoe, Ingo Naujoks, Eva Habermann",Holger Waldenberger,01 Min. 59 Sek.,"Liz, Ingo mit 10 Punkten",001.400 €,,,
6,6,12. Aug. 2012,"Ulla Kock am Brink, Jorge González, Jon Flemming Olsen, Heide Simonis",Holger Waldenberger,13 Punkte,Jon mit 18 Punkten,001.600 €,,,
7,1,22. Juni 2013,"Hella von Sinnen, Sven Martinek, Mareile Höppner, Bürger Lars Dietrich",Sebastian Jacoby,0 1 Min. 27 Sek.,"Hella, Lars mit 15 Punkten",001.700 €,,,
8,2,24. Juni 2013,"Thomas Hermanns, Muriel Baumeister, Ingo Nommsen, Bärbel Schäfer",Sebastian Klussmann,0 1 Min. 34 Sek.,"Thomas, Muriel mit 11 Punkten",013.600 €,,,
9,3,1. Juli 2013,"Hubertus Meyer-Burckhardt, Lisa Feller, Mario Galla, Ruth Moschner",Sebastian Klussmann,12 Punkte,"Lisa, Mario, Ruth mit 20 Punkten",003.200 €,,,
10,4,6. Juli 2013,"Joe Bausch, Vera Int-Veen, Ingo Appelt, Enie van de Meiklokjes",Sebastian Jacoby,0 1 Min. 03 Sek.,"Joe, Ingo mit 12 Punkten",005.200 €,,,
11,5,8. Juli 2013,"Ralf Schnoor, Sebastian Fietkau, Claudia Bonvie, Olaf Pöschk",Sebastian Jacoby,0 1 Min. 34 Sek.,"Ralf, Sebastian, Claudia mit 14 Punkten",003.600 €,,,
12,6,15. Juli 2013,"Andreas Hoppe, Gesine Cukrowski, Ingo Oschmann, Janin Ullmann",Sebastian Klussmann,0 1 Min. 56 Sek.,"Andreas, Gesine, Ingo mit 15 + 2 Punkten",015.100 €,,,
13,7,22. Juli 2013,"Florian Kroier, Georg Martin, Peter Hahn, Kathrin Herzberg",Sebastian Klussmann,12 Punkte,"Florian, Georg, Peter, Kathrin mit 22 Punkten",014.300 €,,,
14,8,29. Juli 2013,"Barbara Wussow, Dieter Landuris, Miriam Pielhau, Niels Ruf",Sebastian Jacoby,0 1 Min. 56 Sek.,"Barbara, Dieter, Miriam mit 11 + 5 Punkten",004.200 €,,,
XXL 1,S1,2. Aug. 2014,"Grit Boettcher mit Nicole Belstler-Boettcher, Geschwister Hofmann aus Anita Geiger u. Alexandra Hofmann, Ulrike von der Groeben mit Alexander von der Groeben, Peter Lohmeyer mit Leila Klamroth",Sebastian Jacoby,01 Min. 51 Sek.,Peter/Leila mit 11 Punkten,75.000 €,,,
15,01,9. Aug. 2014,"Igor Ullrich, Marcus Straßmann, Martin Bahr, Dr. Bettina Graf",Sebastian Jacoby,01 Min. 11 Sek.,Martin mit 12 + 1 Punkten,00.780 €,,,
16,02,16. Aug. 2014,"Julia Scharf, Oliver Mommsen, Andrea Ballschuh, Tom Gaebel",Sebastian Klussmann,07 Punkte,"Julia, Tom mit 12 + 4 Punkten",01.750 €,,,
17,03,23. Aug. 2014,"Nino Strotzki, Claudia Schneider, Christoph Döring, Harald Tilkes",Sebastian Jacoby,01 Min. 50 Sek.,"Nino, Harald mit 16 + 3 Punkten",02.000 €,,,
18,04,30. Aug. 2014,"Alexander Kaltmeyer, Peter Petry, Oliver Klenz, Barbara Hostalka",Klaus Otto Nagorsnik,01 Min. 28 Sek.,"Alexander, Oliver mit 14 + 3 Punkten",02.800 €,,,
19,05,6. Sep. 2014,"Nina Vorbrodt, Lars Riedel, Marlene Lufen, Tobias Schlegl",Sebastian Klussmann,01 Min. 06 Sek.,Nina mit 11 + 1 Punkten,01.400 €,,,
20,06,20. Sep. 2014,"Jörn Wartberg, Andreas Prien, Christian Vogt, Katja Kümper",Sebastian Jacoby,01 Min. 35 Sek.,"Christian, Katja mit 8 Punkten",02.400 €,,,
21,07,27. Sep. 2014,"Mike Schütte, Manfred Reichard, Annika Fischer, Martin Ehrl",Sebastian Klussmann,12 Punkte,"Mike, Manfred, Annika, Martin mit 18 + 7 Punkten",09.000 €,,,
22,08,25. Okt. 2014,"Marie-Luise Schramm, Veit Stübner, Anna Thalbach, Yared Dibaba",Klaus Otto Nagorsnik,05 Punkte,"Marie-Luise, Anna, Yared mit 17 + 6 Punkten",14.000 €,,,
23,09,1. Nov. 2014,"Anke Tornau, Bernd Schmitz, Veikko Bartel, Annegret Schenkel",Klaus Otto Nagorsnik,15 Punkte,"Anke, Veikko, Annegret mit 16 + 3 Punkten",04.400 €,,,
24,10,29. Nov. 2014,"Loretta Stern, Wolfgang Trepper, Anja Schüte, Antoine Monot, Jr.",Sebastian Klussmann,01 Min. 56 Sek.,Antoine (alle ausgeschieden) mit 10 + 1 Punkten,02.000 €,,,
25,11,6. Apr. 2015,"Sabine Heinrich, Hans-Jochen Wagner, Annabelle Mandeng, Volker Lechtenbrink",Klaus Otto Nagorsnik,01 Min. 07 Sek.,"Hans-Jochen, Volker mit 11 Punkten",02.300 €,,,
26,12,30. Dez. 2014,"Tanja Schumann, Götz Otto, Steffen Hallaschka, Christine Westermann",Sebastian Jacoby,01 Min. 06 Sek.,Christine mit 13 Punkten,40.000 €,,,
27,13,4. Jan. 2015,"Victor Schefé, Kamilla Senjo, Oliver Wnuk, Natalia Wörner",Klaus Otto Nagorsnik,01 Min. 57 Sek.,Victor mit 8 + 1 Punkten,01.200 €,,,
28,14,5. Jan. 2015,"Michael Marji, Gerhard Wendlik, Matthias Thiele, Hanne Weber",Sebastian Jacoby,01 Min. 52 Sek.,"Matthias, Hanne mit 11 + 1 Punkten",01.150 €,,,
29,15,11. Jan. 2015,"Anja Roth, Maxi Arland, Gaby Papenburg, Claude-Oliver Rudolph",Sebastian Klussmann,09 Punkte,Gaby mit 14 + 4 Punkten,01.100 €,,,
30,16,18. Jan. 2015,"Karen Otto, Henrik Malcharek, Dennis Janzen, Kerstin Kaltmeyer",Sebastian Jacoby,01 Min. 39 Sek.,"Karen, Henrik, Dennis, Kerstin mit 20 + 1 Punkten",05.400 €,,,
31,17,25. Jan. 2015,"Patrick Bade, Mario Acquistapace, Swenja Kremer, Benjamin Betka",Klaus Otto Nagorsnik,08 Punkte,"Patrick, Mario, Benjamin mit 17 + 6 Punkten",03.500 €,,,
32,18,16. Feb. 2015,"Jörg Boecker, Melanie Marschke, Norbert König, Tina Ruland",Sebastian Jacoby,01 Min. 10 Sek.,Norbert (alle ausgeschieden) mit 15 + 1 Punkten,02.000 €,,,
,1,18. Mai 2015,"Eva Reif, Marcel Westermann, Theresa Pfitzner, Steffen Schindler",Sebastian Klussmann,01 Min. 52 Sek.,"Marcel, Theresa, Steffen mit 16 Punkten",008.500 €,1.0,,
,2,19. Mai 2015,"Michael Veh-Hölzlein, Jennifer Schwarz, Omid Mouazzen, Andreas Zimmermann",Klaus Otto Nagorsnik,01 Min. 51 Sek. (fehlerlos),"Michael, Andreas mit 11 Punkten",007.000 €,2.0,,
,3,20. Mai 2015,"Yvonne König, Heidrun Wittke, Ralf Alexander Becker, Nico Freitag",Holger Waldenberger,01 Min. 11 Sek.,"Heidrun, Ralf mit 10 + 1 Punkten",005.000 €,3.0,,
,4,21. Mai 2015,"Maximilian Römer, Christian Holthausen, Daniela Müller, Steffen Wellbrock",Sebastian Jacoby,01 Min. 10 Sek.,Daniela mit 14 Punkten,100.000 €,4.0,,
,5,22. Mai 2015,"Matthias Killing, Oliver Mommsen, Ann-Kathrin Kramer, Thomas Hermanns",Sebastian Jacoby,01 Min. 17 Sek.,"Oliver, Ann-Kathrin, Thomas mit 17 Punkten",009.000 €,5.0,,
,6,26. Mai 2015,"Michael Ulle, Tobi Altehenger, Tanja Babeo, Peter Norden",Sebastian Klussmann,11 Punkte,"Michael, Tobi, Tanja, Peter mit 16 + 5 Punkten",011.500 €,6.0,,
,7,27. Mai 2015,"Chris Djuritschek, Stefanie Wehaus, Hans-Joachim Mundschau, Daniel Boden",Klaus Otto Nagorsnik,01 Min. 59 Sek.,"Stefanie, Hans-Joachim mit 18 + 2 Punkten",004.500 €,7.0,,
,8,28. Mai 2015,"Hubertus Meyer, Katja Steenbock, Erdal Yegin, Tobias Möller",Sebastian Klussmann,01 Min. 07 Sek.,"Hubertus, Katja mit 11 + 1 Punkten",007.000 €,8.0,,
,9,29. Mai 2015,"Frank Busemann, Ruth Moschner, Steffen Schroeder, Lilo Wanders",Sebastian Jacoby,14 Punkte,"Ruth, Steffen, Lilo mit 17 + 3 Punkten",005.500 €,9.0,,
,10,1. Juni 2015,"Günter Altenburg, Alberto Flägel, Andreas Barthel, Anna Sievers",Klaus Otto Nagorsnik,01 Min. 28 Sek.,"Alberto, Andreas mit 13 + 2 Punkten",007.500 €,10.0,,
,11,2. Juni 2015,"Christian Prinz, Patrick Söhle, Yasmina Mouazzen, Matthias Bimmermann",Sebastian Klussmann,01 Min. 11 Sek.,"Christian, Patrick mit 13 Punkten",005.000 €,11.0,,
,12,3. Juni 2015,"Arne Pingel, Michael Falkensteiner, Julia Stöckel, Klaus Harm",Sebastian Jacoby,01 Min. 51 Sek.,Julia mit 16 + 2 Punkten,003.000 €,12.0,,
,13,4. Juni 2015,"Markus Neyzen, Dagmar Liß-Korte, Michael Lüer, Fabio Gandolfo",Klaus Otto Nagorsnik,03 Punkte,Michael mit 19 + 7 Punkten,004.500 €,13.0,,
,14,5. Juni 2015,"Peter Lohmeyer, Ivo Semenitsch, Niklas Müller-Hohenstein, Katrin Müller-Hohenstein",Holger Waldenberger,01 Min. 22 Sek.,"Peter, Ivo, Niklas, Katrin mit 15 Punkten",092.500 €,14.0,,
,15,8. Juni 2015,"Dany Rohe, Tobias Schuler, Matthias Lürken, Monika Lüchtefeld",Sebastian Jacoby,11 Punkte,"Dany, Tobias, Matthias mit 15 + 6 Punkten",010.000 €,15.0,,
,16,9. Juni 2015,"Manfred Erdmann, Bianca Rothmann, Daniel Esche, Gloria Viagra",Klaus Otto Nagorsnik,01 Min. 24 Sek.,Manfred mit 13 + 1 Punkten,005.000 €,16.0,,
,17,10. Juni 2015,"André Silberberg, Nils N., Claudia Hennig, Claus Peter Simon",Holger Waldenberger,01 Min. 40 Sek. (fehlerlos),Claus mit 9 Punkten,050.000 €,17.0,,
,18,11. Juni 2015,"Klaus Rizzin, Cornelia Uetrecht, Fabian Haak, Martin Kintrup",Sebastian Klussmann,10 Punkte,"Klaus, Cornelia, Martin mit 16 + 4 Punkten",071.000 €,18.0,,
,19,12. Juni 2015,"Alexander Hermann, Thomas Rupprath, Anna Thalbach, Jörg Thadeusz",Sebastian Jacoby,01 Min. 25 Sek.,"Alexander, Jörg mit 15 + 2 Punkten",015.000 €,19.0,,
,20,15. Juni 2015,"Olaf „Olen“ Walter, Sarah Körth, Rainer Voß, Dietmar Bader",Sebastian Jacoby,01 Min. 51 Sek.,"Sarah, Dietmar mit 18 + 1 Punkten",006.500 €,20.0,,
,21,16. Juni 2015,"André Andersen, Peter Schulze, Claudia ..., Stefan ...",Sebastian Jacoby,01 Min. 58 Sek.,"André, Peter mit 11 + 1 Punkten",005.000 €,21.0,,
,22,17. Juni 2015,"Tobias Busch, Birgit Schütting, Andreas Cornelsen, Anne Neumann",Holger Waldenberger,01 Min. 33 Sek.,"Birgit, Andreas, Anne mit 12 + 2 Punkten",008.500 €,22.0,,
,23,18. Juni 2015,"Marcus Stühn, Beate Brakonier, Nicole Gleitsmann, Reinald Hoffsten",Klaus Otto Nagorsnik,01 Min. 38 Sek.,"Marcus, Nicole, Reinald mit 12 + 3 Punkten",154.000 €,23.0,,
,24,19. Juni 2015,"Alexander Klaws, Michael Stich, Sonja Zietlow, Wigald Boning",Sebastian Jacoby,16 Punkte,"Sonja, Wigald mit 19 + 5 Punkten",006.300 €,24.0,,
,25,22. Juni 2015,"Stefan Becker, Timo Egbringhoff, Benedita Barttels, Bico Lange",Holger Waldenberger,16 Punkte,Stefan mit 19 + 3 Punkten,004.500 €,25.0,,
,26,23. Juni 2015,"Michael Gemeiner, Brigitte Leiwesmeier, Marcus Feuerstein, Andrea Wormsbächer",Sebastian Klussmann,01 Min. 43 Sek.,"Marcus, Andreas mit 16 + 3 Punkten",152.200 €,26.0,,
,27,24. Juni 2015,"Fabian Zahrt, Carmela Sanchez, Thomas Kinne, Monika Vogt",Sebastian Jacoby,14 Punkte,"Fabian, Carmela, Thomas mit 15 + 4 Punkten",037.500 €,27.0,,
,28,26. Juni 2015,"Mareile Höppner, Matthias Opdenhövel, Andrea Kiewel, Steffen Hallaschka",Holger Waldenberger,01 Min. 59 Sek.,Matthias mit 10 Punkten,004.500 €,28.0,,
,29,29. Juni 2015,"Conchita 4711, Klaus Rohde, Tugba Arslan, Robin Schlömer",Sebastian Jacoby,02 Min.,"Conchita, Robin mit 18 Punkten",008.000 €,29.0,,
,30,30. Juni 2015,"Chris Alexandros, Robert Komnick, Zlatka ""Uschi"" Malzburg, Peter Meiners",Klaus Otto Nagorsnik,17 Punkte,"Robert, Peter mit 20 + 1 Punkten",007.500 €,30.0,,
,31,1. Juli 2015,"Sarah Czerwenka, Renke Siefken, Holger Wockenfuß, Stefanie Ginsbach",Holger Waldenberger,01 Min. 08 Sek.,Holger mit 12 Punkten,100.000 €,31.0,,
,32,2. Juli 2015,"Marcel Riepegerste, Ludwig Gebhardt, Tina-Marie Delisa, Steve Brauer",Sebastian Jacoby,01 Min. 48 Sek.,"Marcel, Ludwig, Steve mit 17 + 2 Punkten",005.950 €,32.0,,
,33,3. Juli 2015,"Oliver Wnuk, Miriam Pielhau, Steffen Groth, Johannes Strate",Sebastian Klussmann,01 Min. 20 Sek.,"Oliver, Steffen, Johannes mit 14 Punkten",103.750 €,33.0,,
,01,2. Nov. 2015,"Stefan Poier, Kerstin Klein, Philipp Rottmann, Ernst Jäger-Buschart",Holger Waldenberger,01 Min. 47 Sek.,"Philipp, Ernst mit 20 Punkten",021.000 €,,34,
,02,3. Nov. 2015,"Dino Massimo, Ludwig Wirtz, Anja Boettcher, Susanne Nemetz",Sebastian Klussmann,01 Min. 56 Sek.,"Dino, Anja mit 10 + 1 Punkten",001.900 €,,35,
,03,4. Nov. 2015,"Rolf Mayr, Michelle Ullmann, Mustafa Yalcin, Regina Voßwinkel",Klaus Otto Nagorsnik,01 Min. 36 Sek.,"Rolf, Michelle, Regina mit 12 + 1 Punkten",034.000 €,,36,
,04,5. Nov. 2015,"Max Schautzer, Lucy Diakovska, Johannes Oerding, Marion Kracht",Sebastian Jacoby,01 Min. 36 Sek.,"Max, Lucy mit 13 + 1 Punkten",005.500 €,,37,
,05,6. Nov. 2015,"Dennis Kock, Grażyna Werner, Josef Wagner, Manuela Sommer",Klaus Otto Nagorsnik,01 Min. 34 Sek.,"Dennis, Grażyna, Josef, Manuela mit 15 Punkten",010.900 €,,38,
,06,6. Nov. 2015,"Heike Schwarte, Stefan Brands, Hannah Gröschl, Sascha Sewke",Holger Waldenberger,01 Min. 20 Sek.,"Heike, Sascha mit 15 + 1 Punkten",006.000 €,,39,
,07,9. Nov. 2015,"Sebastian Okrolic, Daniela Debus, Harri Zelazko, Katharina Rappl",Sebastian Klussmann,01 Min. 52 Sek.,"Harri, Katharina mit 13 + 1 Punkten",014.500 €,,40,
,08,10. Nov. 2015,"Norman Grüger, Alfonso De Filippo, Soreya Kerboub, Christoph Wötzel",Sebastian Jacoby,01 Min. 09 Sek.,"Alfonso, Christoph mit 12 Punkten",038.000 €,,41,
,09,11. Nov. 2015,"Klaus Urban, Andrea Demsic, Ingrid Bögel, Benjamin Schwanke",Holger Waldenberger,01 Min. 43 Sek.,"Klaus, Andrea, Ingrid mit 19 Punkten",014.500 €,,42,
,10,12. Nov. 2015,"Mike Krüger, Victoria Herrmann, Winfried Glatzeder, Jessica Kastrop",Sebastian Jacoby,01 Min. 03 Sek.,Mike mit 12 + 1 Punkten,001.999 €,,43,
,11,13. Nov. 2015,"Fanny Fantastic, Martina Keller, Henning Huesing, Katja Michels",Sebastian Jacoby,01 Min. 47 Sek.,"Fanny, Martina mit 18 + 2 Punkten",004.500 €,,44,
,12,13. Nov. 2015,"Sebastian Visser, Anke Luebker, Annegret Jaeger, Ulrich Marre",Sebastian Klussmann,11 Punkte,"Anke, Annegret, Ulrich mit 12 + 3 Punkten",008.000 €,,45,
,13,16. Nov. 2015,"Christiane Loose, Jannik Mathias Hausch, Alexander Schieke, Stefan Gallus",Sebastian Klussmann,01 Min. 07 Sek.,"Christiane, Alexander, Stefan mit 11 Punkten",004.700 €,,46,
,14,17. Nov. 2015,"Steffen Burger, Barbara Boje, Tom Westermann, Rainer Maute",Klaus Otto Nagorsnik,01 Min. 29 Sek.,"Barbara, Rainer mit 12 + 2 Punkten",040.500 €,,47,
,15,18. Nov. 2015,"Andreas Böttcher, Brigitte Kadach, Kevin Scheuren, Anja Tuschwitz",Holger Waldenberger,01 Min. 03 Sek.,Kevin (alle ausgeschieden) mit 14 Punkten,000.500 €,,48,
,16,19. Nov. 2015,"Lisa Feller, Maxi Arland, Thorsten Havener, Nina Bott",Sebastian Klussmann,01 Min. 27 Sek.,"Maxi, Nina mit 13 + 1 Punkten",004.300 €,,49,
,17,20. Nov. 2015,"Michael Seevers, Arzu Kasak, Michel Schmidt, Patrick Zallum",Klaus Otto Nagorsnik,01 Min. 24 Sek.,"Michael, Arzu mit 13 + 1 Punkten",002.450 €,,50,
,18,20. Nov. 2015,"Colin Winterberg, Christine Joura, Eberhard Weißbart, Francisco Corro",Sebastian Klussmann,10 Punkte,"Christine, Francisco mit 15 + 3 Punkten",004.500 €,,51,
,19,23. Nov. 2015,"Rene Tangelder, Biggi Birkner, Michael T. Mältzer, Jens Fischer",Klaus Otto Nagorsnik,01 Min. 58 Sek.,"Rene, Michael, Jens mit 12 + 4 Punkten",006.000 €,,52,
,20,24. Nov. 2015,"Johannes Beutler, Mario Roggow, Kevin Förster, Kerstin Schmitt",Holger Waldenberger,01 Min. 37 Sek.,"Mario, Kevin, Kerstin mit 17 + 1 Punkten",007.500 €,,53,
,21,25. Nov. 2015,"Anette Riepl, Marc Pixa, Niclas Hildebrandt, Eugenie Akinlami",Sebastian Klussmann,09 Punkte,"Anette, Marc, Eugenie mit 15 + 4 Punkten",017.000 €,,54,
,22,30. Nov. 2015,"Uwe Schweigert, Simon Siedlaczek, Elisabeth Gieseler, Volker Klärchen",Sebastian Klussmann,01 Min. 16 Sek.,"Uwe, Elisabeth mit 17 Punkten",051.000 €,,55,
,23,1. Dez. 2015,"Konstantin Georgiadis, Mario Kösslin, Manuela Dilly, Marcel Tratnik",Holger Waldenberger,01 Min. 16 Sek.,Mario mit 14 Punkten,003.300 €,,56,
,24,2. Dez. 2015,"Svenja Darmstädter, Karsten Balzer, Dorothea Nestle, Ben Purrmann",Sebastian Klussmann,01 Min. 26 Sek.,Karsten mit 17 Punkten,050.000 €,,57,
,25,3. Dez. 2015,"Anne-Sophie Briest, Tim Schreder, Jeanette Biedermann, Moritz A. Sachs",Klaus Otto Nagorsnik,01 Min. 05 Sek.,"Jeanette, Moritz mit 12 Punkten",042.400 €,,58,
,26,4. Dez. 2015,"Detlef Temme, Annamaria Schneider, Aleksandar Terzic, Sheila Wolf",Klaus Otto Nagorsnik,12 Punkte,"Aleksandar, Annamaria, Detlef mit 16 + 2 Punkten",027.900 €,,59,
,27,4. Dez. 2015,"Adriano Franz, Michael Köhler, Beatrice Moog-Haasenritter, Jürgen Sperber",Sebastian Jacoby,10 Punkte,Jürgen mit 14 + 3 Punkten,008.000 €,,60,
,28,7. Dez. 2015,"Brigitte Lindschau, Manfred Kiefer, Marion Schulte, Tobias Ebenberger",Sebastian Klussmann,01 Min. 27 Sek.,Manfred mit 15 + 2 Punkten,005.000 €,,61,
,29,8. Dez. 2015,"Peter Hartlapp, Horst Oeltjenbruns, Catarina Wirth, Christian Kylau",Klaus Otto Nagorsnik,01 Min. 40 Sek.,Catarina mit 7 Punkten,003.000 €,,62,
,30,9. Dez. 2015,"Maximilian Mattausch, Susanne Müller, Markus Müller, Helmut Geller",Sebastian Klussmann,01 Min. 30 Sek.,"Markus, Helmut mit 13 + 1 Punkten",005.000 €,,63,
,31,10. Dez. 2015,"Jürgen Milski, Enie van de Meiklokjes, Matthias Steiner, Gayle Tufts",Klaus Otto Nagorsnik,15 Punkte,"Jürgen, Matthias, Gayle mit 17 + 2 Punkten",055.000 €,,64,
,32,11. Dez. 2015,"Osman Kaya, Daniel Bree, Dorit Schick, Hans-Peter Miller",Sebastian Jacoby,01 Min. 32 Sek.,"Osman, Daniel, Dorit, Hans-Peter mit 14 Punkten",011.500 €,,65,
,33,11. Dez. 2015,"Sebastian Köchig, Henriette Schamschula, Kai Scholand, Heike Böcke",Holger Waldenberger,01 Min. 09 Sek.,"Sebastian, Henriette mit 13 Punkten",079.500 €,,66,
,34,14. Dez. 2015,"Frank Seifert, Michael Birth, Mirjam Burgardt, Hans Rutrecht",Klaus Otto Nagorsnik,01 Min. 43 Sek.,"Frank, Michael, Mirjam, Hans mit 13 Punkten",051.004 €,,67,
,35,15. Dez. 2015,"Sebastian Hofbauer, Hans-Dieter Stubben, Jens Seiler, Wilfried Horsch",Sebastian Jacoby,01 Min. 44 Sek.,"Sebastian, Hans-Dieter, Jens, Wilfried mit 16 Punkten",035.500 €,,68,
,36,16. Dez. 2015,"Alexander Stolz, Ilona Köller, Wolfgang Weitkämper, Markus Solty",Holger Waldenberger,19 Punkte,"Alexander, Ilona, Wolfgang, Markus mit 23 + 2 Punkten",087.500 €,,69,
,37,17. Dez. 2015,"Désirée Nick, Timo Dierkes, Heike Henkel, Thorsten Schröder",Sebastian Klussmann,01 Min. 47 Sek.,"Timo, Heike mit 16 Punkten",045.000 €,,70,
,38,18. Dez. 2015,"Katharina Goos, Heiko Premke-Büll, Vroni Sander, Christoph Schlottmann",Klaus Otto Nagorsnik,01 Min. 34 Sek.,"Vroni, Christoph mit 18 Punkten",006.500 €,,71,
,39,18. Dez. 2015,"Sandro Di Natale, Brigitte Müller-Loose, Michael Schummer, Beate Bauer",Sebastian Jacoby,01 Min. 26 Sek.,"Sandro, Brigitte, Beate mit 15 Punkten",023.500 €,,72,
,40,21. Dez. 2015,"David Felsch, Johannes Feindler, Stefanie Giebel, Andreas Rieburg",Klaus Otto Nagorsnik,01 Min. 10 Sek.,"David, Andreas mit 14 Punkten",005.500 €,,73,
,41,22. Dez. 2015,"Katrin Kramer, Rafael Vives, Andrea Tegen, Dennis Schweitzer",Holger Waldenberger,01 Min. 41 Sek.,Andrea mit 19 Punkten,003.500 €,,74,
,42,23. Dez. 2015,"Andreas Ebi Klotz, Cassy Carrington, Barbara Klein, Michael Heyn",Sebastian Jacoby,01 Min. 47 Sek.,"Andreas, Cassy, Barbara mit 15 Punkten",057.000 €,,75,
,43,30. Dez. 2015,"Marco Schreyl, Katy Karrenbauer, Kolja Kleeberg, Isabel Edvardsson",Sebastian Klussmann,16 + 3 Punkte,"Marco, Katy, Kolja, Isabel mit 19 Punkten",072.700 €,,76,
,44,4. Jan. 2016,"Tom Haferkorn, Mandy Juch, Stephan Partsch, Lutz Hartmann",Klaus Otto Nagorsnik,01 Min. 02 Sek.,"Tom, Stephan mit 12 Punkten",005.500 €,,77,
,45,5. Jan. 2016,"Elise van Tastic, Heinrich Steinbach, Christoph Kaltenborn, Dina Dada",Holger Waldenberger,17 Punkte,"Elise, Heinrich, Christoph, Dina mit 21 + 2 Punkten",108.500 €,,78,
,46,7. Jan. 2016,"Susanne Fröhlich, Wolfgang Bahro, Ann Sophie, Dominic Boeer",Sebastian Klussmann,01 Min. 36 Sek.,"Susanne, Wolfgang, Dominic mit 13 Punkten",056.500 €,,79,
,S1,7. Jan. 2016,"Gesine Cukrowski mit Christian Berkel, Dunja Hayali mit Mitri Sirin, Antoine Monot, Jr. mit Steffen Henssler, Nadine Angerer mit Stefan Kretzschmar",Sebastian Jacoby,01 Min. 05 Sek.,"Dunja/Mitri, Nadine/Stefan mit 14 Punkten",011.000 €,,XXL 2,
,47,8. Jan. 2016,"Aische Pervers, Daniel Franzen, Marco Naskowski, Lutz Köhler",Klaus Otto Nagorsnik,12 Punkte,"Daniel, Marco mit 14 Punkten",004.000 €,,80,
,48,8. Jan. 2016,"Nuri Abacilar, Brigitte Blamage, Michael Beckenkamp, Dagmar Lühn",Holger Waldenberger,01 Min. 42 Sek.,Brigitte mit 9 Punkten,003.000 €,,81,
,49,11. Jan. 2016,"Michael Götz-Pijl, Bianca Schlegelberger, Lars Enke, Thomas Rubin",Sebastian Klussmann,09 Punkte,"Michael, Bianca, Thomas mit 15 Punkten",018.000 €,,82,
,50,12. Jan. 2016,"Marcel Borchmann, Deli Safari-Khaledi, Thomas Leskovar, Gianni Jovanovic",Klaus Otto Nagorsnik,01 Min. 47 Sek.,"Deli, Thomas mit 16 Punkten",008.000 €,,83,
,51,13. Jan. 2016,"Benedikt Wetzel, Christa Waller, Stephan Lehmann, Peter Lewerenz",Holger Waldenberger,01 Min. 42 Sek.,"Benedikt, Stephan mit 16 Punkten",008.000 €,,84,
,52,14. Jan. 2016,"Yasmina Filali, Wilson Gonzalez Ochsenknecht, Heinz Rudolf Kunze, Manon Straché",Klaus Otto Nagorsnik,01 Min. 50 Sek.,"Yasmina, Wilson Gonzalez, Heinz Rudolf mit 16 + 2 Punkten",007.000 €,,85,
,53,15. Jan. 2016,"Niklas Other, Rica Schmidt, Jürgen Gomille, Victor Röther",Sebastian Jacoby,15 Punkte,"Niklas, Rica, Jürgen, Victor mit 20 + 5 Punkten",024.000 €,,86,
,54,15. Jan. 2016,"Christian Gläsmann, Marion Buk-Kluger, Manfred Burgard, Daniel Shaltookchi",Holger Waldenberger,01 Min. 43 Sek.,Daniel mit 17 Punkten,002.000 €,,87,
,55,18. Jan. 2016,"Wolfgang Buddeberg, Klaus Boczian, Bärbel Kiy, Karsten Hohage",Sebastian Jacoby,16 Punkte,"Wolfgang, Klaus, Bärbel, Karsten mit 17 Punkten",012.000 €,,88,
,56,19. Jan. 2016,"Nina Queer, Pascal Klösener, Corinna Winko, Gerd Engels",Holger Waldenberger,01 Min. 20 Sek.,Corinna mit 14 + 0 Punkten,003.500 €,,89,
,57,20. Jan. 2016,"Manuel Rühl, Margret Wehning, Sebastian Kolb, Philipp Gantner",Klaus Otto Nagorsnik,11 Punkte,"Margret, Sebastian, Philipp mit 13 Punkten",008.300 €,,90,
,58,21. Jan. 2016,"Guildo Horn, Ulla Kock am Brink, Ingo Appelt, Tine Wittler",Sebastian Jacoby,01 Min. 21 Sek.,Ulla mit 13 Punkten,025.000 €,,91,
,59,22. Jan. 2016,"Wilhelm Geron, Jochen Hoynck, Koko Gieseler, Andy Lindert",Klaus Otto Nagorsnik,01 Min. 05 Sek.,"Jochen, Andy mit 12 Punkten",005.000 €,,92,
